4/9899
51/385
48/4896
51/3602
50/1262
48/3231
48/9111
49/8071
4/6729
50/9737
51/1511
47/7758
51/5803
48/5369
52/4498
48/4247
48/4353
50/598
50/8322
46/7010
51/4167
46/9913
50/992
47/5331
51/5001
46/6822
4/2404
52/4072
51/223
49/5295
51/8632
47/67
50/740
50/9388
49/3994
52/5088
50/4873
50/2818
46/8610
51/2425
47/89
50/2142
49/4849
52/6215
49/3697
51/5718
51/6332
49/4021
47/3414
47/3399
48/8800
51/9652
46/7854
48/6155
48/3938
47/1661
46/9947
47/3175
51/8437
51/9153
50/125
49/1230
52/7786
47/191
48/4138
4/5508
51/5773
48/8542
46/8698
51/3763
47/9394
46/7733
4/3891
50/8862
48/9970
47/3021
47/9941
47/907
48/8275
47/2209
4/7626
50/57
4/896
52/1826
48/3555
52/3237
52/5137
46/9543
47/5192
49/9946
4/9528
48/3738
48/8598
50/8081
47/9587
50/303
46/742
4/7333
51/8597
4/8938
47/8089
49/4114
51/767
48/6834
48/5263
4/8815
52/2389
4/374
52/5989
48/4029
52/2107
50/6006
51/9595
51/5536
46/7859
49/8877
4/157
53/9654
56/1534
56/5688
56/3763
53/4673
53/5799
56/8343
53/1355
56/1662
55/8194
58/2051
55/6080
54/413
58/830
58/6354
57/524
55/8472
59/3584
58/3888
57/3108
57/5190
56/1737
54/5984
57/2842
54/6537
53/8846
54/6971
57/8207
56/9981
58/9570
54/9346
55/7859
52/9122
54/9017
53/6206
53/4408
55/3222
54/5310
53/7122
56/9327
57/8996
59/7108
54/6789
53/7709
58/1636
55/5
57/5522
52/9300
52/8918
59/1155
54/8186
56/8243
56/8355
56/5057
56/4118
53/2205
56/7677
56/8217
59/5321
57/1163
53/910
56/6363
59/2032
52/8253
58/8550
56/2097
55/6765
53/204
59/1469
54/2830
53/7003
58/67
56/6104
55/496
59/2749
57/2758
59/6818
57/568
56/5930
55/3654
58/947
54/9076
56/5799
53/2998
56/2911
58/7299
55/2964
53/5083
55/7541
56/5088
59/1903
59/3197
